"Date","Price","Open","High","Low","Vol.","Change %"
"05/12/2026","168,916.22","170,758.16","171,571.56","168,823.31","424.80M","-0.93%"
"05/11/2026","170,506.31","170,279.55","171,304.11","169,583.45","634.15M","-0.36%"
"05/08/2026","171,115.81","171,465.06","172,287.45","170,393.13","431.76M","-1.03%"
"05/07/2026","172,894.28","172,548.88","173,274.55","171,541.05","429.22M","0.69%"
"05/06/2026","171,704.77","167,389.06","172,088.58","167,354.44","562.66M","4.23%"
"05/05/2026","164,742.47","162,616.20","164,920.34","162,532.98","209.98M","0.48%"
"05/04/2026","163,948.94","164,713.27","167,245.55","163,417.84","355.71M","0.59%"
"04/30/2026","162,994.17","164,357.47","164,357.47","160,391.19","366.14M","-1.71%"
"04/29/2026","165,823.88","168,863.86","169,686.03","165,391.47","448.99M","-1.54%"
"04/28/2026","168,412.23","168,221.05","169,313.91","168,170.73","592.49M","-0.64%"
"04/27/2026","169,497.36","170,553.98","171,306.63","169,268.33","357.30M","-0.69%"
"04/24/2026","170,672.05","168,045.69","171,641.33","166,380.72","445.22M","0.89%"
"04/23/2026","169,173.38","171,561.73","171,561.73","168,416.02","310.84M","-1.40%"
"04/22/2026","171,579.31","173,343.41","173,452.66","171,254.81","358.03M","-0.91%"
"04/21/2026","173,155.80","173,405.56","175,298.13","172,837.80","524.20M","0.56%"
"04/20/2026","172,196.70","172,249.27","174,523.77","169,226.56","597.87M","-1.00%"
"04/17/2026","173,939.02","171,064.39","174,404.03","170,758.27","704.34M","2.37%"
"04/16/2026","169,911.95","170,006.75","170,899.16","168,941.31","405.31M","0.83%"
"04/15/2026","168,519.94","169,403.08","170,640.27","168,182.98","600.69M","1.74%"
"04/14/2026","165,634.84","163,416.55","165,763.81","163,416.55","358.20M","3.14%"
"04/13/2026","160,591.33","161,837.70","163,612.13","160,158.92","324.64M","-3.95%"
"04/10/2026","167,191.38","166,221.33","168,290.30","166,221.33","452.22M","1.01%"
"04/09/2026","165,517.52","166,382.34","166,962.17","161,993.00","456.73M","-0.18%"
"04/08/2026","165,811.02","164,594.39","165,924.14","162,956.77","486.66M","9.32%"
"04/07/2026","151,673.45","150,613.25","152,013.05","149,129.41","205.23M","0.31%"
"04/06/2026","151,207.81","150,272.88","151,875.02","147,771.36","270.55M","0.54%"
"04/03/2026","150,398.70","149,093.61","152,103.63","148,796.55","270.15M","-1.06%"
"04/02/2026","152,011.27","152,040.53","152,272.64","150,022.44","202.91M","-2.25%"
"04/01/2026","155,511.56","151,262.77","157,347.19","151,262.77","420.21M","4.55%"
"03/31/2026","148,743.31","147,743.69","150,225.63","147,743.69","232.74M","1.29%"
"03/30/2026","146,842.97","151,813.61","151,813.61","144,656.97","308.12M","-3.21%"
"03/27/2026","151,707.52","153,041.83","153,660.89","151,457.95","244.73M","-0.79%"
"03/26/2026","152,907.97","157,571.13","157,591.23","152,668.08","313.13M","-3.41%"
"03/25/2026","158,313.45","155,359.94","158,586.09","155,199.70","348.26M","2.82%"
"03/24/2026","153,966.36","157,190.06","157,442.69","153,382.02","220.48M","0.80%"
"03/19/2026","152,740.38","152,698.52","153,322.97","150,728.19","147.44M","-1.01%"
"03/18/2026","154,292.27","150,562.73","154,684.45","150,284.27","213.82M","2.85%"
"03/17/2026","150,016.16","150,067.91","151,503.47","148,509.05","145.54M","0.56%"
"03/16/2026","149,178.66","153,581.45","153,943.70","148,747.72","153.18M","-3.05%"
"03/13/2026","153,866.17","154,202.92","155,002.11","152,780.80","113.04M","-0.36%"
"03/12/2026","154,421.44","154,679.70","157,080.30","153,503.70","202.93M","-0.92%"
